city,year,quarter,freight_in,freight_out,pass_in,pass_out,ind_in,ind_out
Город,Год,Квартал,"Количество грузовых транспортных средств, перемещенных через пункт пропуска ","Количество грузовых транспортных средств, перемещенных через пункт пропуска ","Количество пассажирских транспортных средств, перемещенных через пункт пропуска ","Количество пассажирских транспортных средств, перемещенных через пункт пропуска ","Количество физических лиц, проследовавших через пункт пропуска","Количество физических лиц, проследовавших через пункт пропуска"
,,,В Россию,Из России,В Россию,Из России,В Россию,Из России
Нальчик,2020,12,0,0,0,0,0,0
Нижневартовск,2018,3,0,0,24,24,5492,5362
Нижневартовск,2018,6,0,0,35,34,6552,7620
Нижневартовск,2018,9,0,0,58,58,12698,11948
Нижневартовск,2018,12,0,0,21,21,4555,4212
Нижневартовск,2019,3,1,1,15,15,3697,3655
Нижневартовск,2019,6,0,0,41,42,7398,9202
Нижневартовск,2019,9,0,0,75,75,15559,14818
Нижневартовск,2019,12,0,0,26,27,5732,4591
Нижневартовск,2020,3,18,18,18,17,3999,3405
Нижневартовск,2020,6,0,0,0,0,0,0
Нижневартовск,2020,9,0,0,0,0,0,0
Нижневартовск,2020,12,0,0,4,4,685,792
Нижнекамск,2018,3,2,3,11,18,234,277
Нижнекамск,2018,6,10,5,99,109,17077,20472
Нижнекамск,2018,9,5,3,159,153,32763,32031
Нижнекамск,2018,12,4,5,63,64,10290,7515
Нижнекамск,2019,3,4,6,23,25,1034,1313
Нижнекамск,2019,6,0,0,121,122,17524,19704
Нижнекамск,2019,9,0,0,140,135,24890,25007
Нижнекамск,2019,12,0,0,71,74,10039,7984
Нижнекамск,2020,3,0,0,19,21,114,481
Нижнекамск,2020,6,0,3,4,3,12,12
Нижнекамск,2020,9,0,0,15,16,115,168
Нижнекамск,2020,12,0,0,15,14,120,100
Нижний Новгород,2018,3,0,0,71,71,14243,13433
Нижний Новгород,2018,6,0,0,310,308,47256,54846
Нижний Новгород,2018,9,0,0,366,362,70001,69246
Нижний Новгород,2018,12,1,1,138,139,27338,22227
Нижний Новгород,2019,3,0,0,56,57,11223,10576
Нижний Новгород,2019,6,0,0,272,277,50213,56442
Нижний Новгород,2019,9,0,0,364,363,77102,76628
Нижний Новгород,2019,12,0,2,165,166,33300,28164
Нижний Новгород,2020,3,0,0,64,62,12886,10243
Нижний Новгород,2020,6,0,0,10,4,650,22
Нижний Новгород,2020,9,0,0,17,10,763,70
Нижний Новгород,2020,12,7,4,18,22,1199,279
Новокузнецк,2018,3,0,0,28,32,6627,7380
Новокузнецк,2018,6,0,0,27,29,5927,5959
Новокузнецк,2018,9,0,0,33,34,7607,7951
Новокузнецк,2018,12,0,0,36,36,7225,7220
Новокузнецк,2019,3,0,0,31,32,7330,7121
Новокузнецк,2019,6,0,0,26,28,5631,5957
Новокузнецк,2019,9,0,0,27,27,7361,7190
Новокузнецк,2019,12,0,0,29,26,5174,4946
Новокузнецк,2020,3,0,0,28,28,6573,6069
Новокузнецк,2020,6,0,0,2,1,10,7
Новокузнецк,2020,9,0,0,2,3,11,18
Новокузнецк,2020,12,0,0,1,1,2,0
